STATE,H_OR_S,DISTRICT,NAME,PARTY_R,YES,PERCENT_RURAL,MEAN_INCOME,PERCENT_PRIVATE,PERCENT_21_FBLA,PERCENT_21_FBA,PERCENT_21_W,PERCENT_21_B,PERCENT_21_H,CHANGE_FBLA,CHANGE_FBA,CHANGE_HISP,CHANGE_A,,,,,,
GA,S,51,Gooch,1,1,85.37,83388,12.47,2,0.59,89.88,1,5.43,0.06,0.28,1.41,0.3,,,,,,
GA,S,54,Payne,1,1,46.57,71931,5.75,11.62,0.88,68.21,2.55,25.48,-0.1,0.06,3.2,0.17,,,,,,
GA,S,55,Butler,0,0,0.01,84433,14.31,8.44,2.77,16.28,70.55,6.99,1.88,-0.85,2.32,-0.39,,,,,,
GA,S,56,Albers,1,1,0,143568,21.75,8.23,7.35,58,15.89,13.13,-1.79,2.71,1.03,3.18,,,,,,
IA,S,1,Witt,1,1,7.48,77212,10.33,1.17,0.66,93,0.38,3.68,-7.06,-2.51,-15.08,-3.71,,,,,,
IA,S,2,Taylor,1,1,59.63,83754,34.51,3.15,0.44,88.46,0.88,8.47,0.37,0.02,3.32,-0.19,,,,,,
IA,S,3,Evans,1,0,48.79,89594,15.36,2.23,0.48,86.9,2.28,7.46,0.92,0.1,4.57,0.39,,,,,,
IA,S,4,Kraayenbrink,1,1,61.3,72494,10.7,2.14,0.61,89.31,0.88,7.08,1.03,0.28,4.37,0.33,,,,,,
IA,S,5,Rowley,1,1,62.17,72393,12.35,1.25,0.76,87.9,3.05,5.22,-0.22,0.05,1.47,-0.01,,,,,,
IA,S,6,Schultz,1,1,63.95,76528,15.34,4.8,2.58,80.75,1.17,11.59,3.42,2.03,7.76,3.23,,,,,,
IA,S,7,Alons,1,1,53.46,70775,18.32,7.88,2.56,61.04,5.05,23.5,7.35,1.79,20.36,2.7,,,,,,
IA,S,8,Costello,1,1,83.24,66697,8.9,3.91,0.92,81.96,2.11,11.77,2.62,0.21,9.32,0.23,,,,,,
IA,S,9,Shipley,1,0,53.22,75676,8.11,4.1,0.62,86.48,1.46,9.36,3.98,0.32,8.31,0.32,,,,,,
IA,S,10,Dawson,1,1,1.35,110311,10.82,2.32,0.89,90.09,0.86,5.64,1.9,-0.8,4.18,-0.68,,,,,,
IA,S,11,Garrett,1,1,44.47,88149,13.67,0.72,0.2,94.37,0.42,2.3,-1.49,-0.53,-3.78,-0.95,,,,,,
IA,S,12,Sinclair,1,1,83.71,76840,7.1,0.9,0.29,92.24,0.63,4.05,0.5,-0.04,2.56,-0.01,,,,,,
IA,S,13,Westrich,1,1,52.48,97762,18.99,0.44,0.45,93.71,0.8,2.93,-0.13,0.13,0.82,0.24,,,,,,
IA,S,14,Garriott,0,0,10.69,74059,15.52,1.4,0.4,91.82,0.95,4.11,1.09,-0.69,2.06,-0.79,,,,,,
IA,S,16,Celsi,0,0,0.86,69943,15.87,5.34,3.29,65.52,10.4,15.08,4.94,3.14,13.55,4.27,,,,,,
IA,S,17,Knox,0,0,0,70773,17.48,5.65,4.61,64.17,7.86,17.19,4.84,3.15,13.89,5.54,,,,,,
IA,S,18,Petersen,0,0,0,70585,23.13,4.57,7.63,59.4,15.79,12.6,3.95,6.21,10.99,7.84,,,,,,
IA,S,19,Rozenboom,1,1,58.31,106459,15.51,0.65,1.29,90.09,2.12,3.22,0.13,-0.43,-0.28,0.17,,,,,,
IA,S,20,Boulton,0,0,3.47,117096,12.13,0.83,3.26,82.21,6.4,4.66,-0.02,3.07,2.04,4.53,,,,,,
IA,S,21,Bousselot,1,1,0.95,105425,27.08,1.82,4.39,78.23,6.84,6.3,1.48,3.81,4.54,4.66,,,,,,
IA,S,22,Zaun,1,1,1.15,114626,17.84,1.96,5.97,80.34,3.29,5.68,-4.25,5.09,-6.78,5.48,,,,,,
IA,S,23,Whitver,1,1,34.95,76147,3.31,1.47,8.84,78.75,3.03,3.67,0.61,1.96,0.22,2.48,,,,,,
IA,S,24,Green,1,1,63.5,83419,10.62,0.91,0.87,92.26,0.99,3.61,-1.62,-0.57,-1.52,-0.53,,,,,,
IA,S,25,Quirmbach,0,0,1.49,84010,7.91,1.01,0.47,93.3,0.89,3.23,-0.17,0.18,0.25,0.14,,,,,,
IA,S,26,Edler,1,1,46.04,76108,15,0.7,0.72,93.94,0.76,2.67,-3.93,-0.8,-6.36,-1.55,,,,,,
IA,S,27,Sweeney,1,1,68.88,75717,11.12,1.12,0.76,89.32,1.66,6.17,-0.43,0.51,1.13,0.72,,,,,,
IA,S,28,Guth,1,1,79.79,75606,29.41,1.43,0.75,93.08,1.14,3.75,-2.39,0.56,-3.39,0.48,,,,,,
IA,S,29,Salmon,1,1,74.39,93088,17.61,0.57,0.46,94.91,0.67,2.34,0.18,0.16,0.88,0.24,,,,,,
IA,S,30,Brown,1,1,46.31,95059,11.04,0.82,2.71,86.73,4.49,2.7,-2.53,-1.03,-3.65,-1.09,,,,,,
IA,S,31,Dotzler,0,0,3,60725,12.59,2.35,1.83,70.12,16.08,7.24,-0.14,-0.58,-0.73,-0.92,,,,,,
IA,S,32,Klimesh,1,1,87.22,83023,21.63,0.37,0.38,94.6,0.84,1.79,-0.7,-1.63,-1.15,-2.34,,,,,,
IA,S,33,Koelker,1,1,80.34,88289,26.35,1.16,2.91,79.82,8.45,4.19,-7.02,-1.93,-12.62,-4.17,,,,,,
IA,S,34,Zumbach,1,1,71.26,101000,13.72,0.61,2.6,88.36,2.11,2.54,-4.57,-0.15,-9.73,-0.55,,,,,,
IA,S,35,Cournoyer,1,1,38.61,79801,12.17,1.06,1.4,79.88,9.26,4.89,0.79,-0.32,3.02,-1.04,,,,,,
IA,S,36,Jochum,0,0,5.67,75844,7,7.41,2.25,72.98,1.3,18.65,7.03,1.62,17.51,2.08,,,,,,
IA,S,37,Donahue,0,0,0.83,104363,10.29,1.38,4.68,78.98,7.26,4.98,1.06,4.45,3.32,5.78,,,,,,
IA,S,38,Giddens,0,0,19.41,83943,18.89,0.44,0.47,93.74,0.7,2.56,-0.11,-0.15,0.63,0.12,,,,,,
IA,S,39,Bennett,0,0,2.52,95004,8.55,1.67,1.27,86.94,2.24,5.45,0.33,-2.95,1.16,-3.5,,,,,,
IA,S,40,Taylor,0,0,1.59,79020,23.96,0.29,1.04,93.44,0.95,2.09,-3.99,0.45,-10.11,0.25,,,,,,
IA,S,41,Gruenhagen,1,1,51.64,71878,20.61,2.6,2.27,83.36,3.68,7.44,1.58,0.9,2.29,0.47,,,,,,
IA,S,42,McClintock,1,0,75.97,70051,17.51,0.78,1.23,89.35,2.61,4.12,0.41,0.84,1.13,1.09,,,,,,
IA,S,43,Wahls,0,0,12.25,74654,6.36,1.9,5.24,77.07,6.91,5.99,0.06,2.99,-0.87,3.21,,,,,,
IA,S,44,Dickney,1,1,51.98,78950,10.53,2.65,1.22,82.04,4.42,9.21,0.58,0.46,3.28,0.79,,,,,,
IA,S,45,Weiner,0,0,0.54,66045,22.29,2.38,1.73,69.96,11.73,10.29,1.19,-0.73,7.18,-0.23,,,,,,
IA,S,46,Driscoll,1,1,77.66,82856,10.32,2.4,0.54,79.31,4.51,12.19,1.32,-0.4,8.95,-0.41,,,,,,
IA,S,47,Webster,1,1,3.69,113290,17.91,0.75,3.39,81.98,4.49,5.14,-2.06,2.92,-0.42,4.03,,,,,,
IA,S,48,Lofgren,1,1,58.47,97179,20.43,0.15,0.66,94.65,0.96,1.68,-1.17,0.3,-1.82,0.37,,,,,,
IA,S,49,Winckler,0,0,7.8,82846,7.83,0.48,0.46,90.75,2.55,3.1,-0.33,0.01,0.97,0.22,,,,,,
IA,S,50,Reichman,1,1,26.63,79107,32.51,0.64,1.48,87.28,4.2,2.35,-2.51,0.91,-6.11,0.99,,,,,,
IA,H,1,Scholten,0,0,2.09,82408,11.94,1.67,0.87,93.23,0.22,3.6,-5.03,-1.69,-12.33,-2.6,,,,,,
IA,H,2,Henderson,1,1,12.87,71861,8.86,0.67,0.45,92.75,0.55,3.76,-9.2,-3.36,-18.04,-4.9,,,,,,
IA,H,3,Jeneary,1,1,46.03,77929,15.57,1.54,0.43,90.86,1.33,5.38,-0.76,0.11,0.44,0.04,,,,,,
IA,H,4,Wheeler,1,1,73.3,90187,47.05,4.63,0.44,86.26,0.46,11.32,1.39,-0.08,5.97,-0.4,,,,,,
IA,H,5,Dieken,1,1,69.17,88645,13.91,1.83,0.33,91.06,1.53,5.44,-0.05,0,1.29,0.08,,,,,,
IA,H,6,Jones,1,1,28.39,90531,16.74,2.62,0.64,82.79,3.01,9.45,1.87,0.22,7.76,0.71,,,,,,
IA,H,7,Sexton,1,1,100,69423,12.56,2.09,0.91,89.41,1.18,6.41,0.6,0.6,3.04,0.78,,,,,,
IA,H,8,Meyer,1,1,22.51,75610,8.7,2.19,0.32,89.21,0.58,7.74,1.45,-0.03,5.67,-0.13,,,,,,
IA,H,9,Stone,1,1,64.99,71115,12.24,1.44,1.09,82.96,5.24,6.91,-1.15,0.39,1.35,0.3,,,,,,
IA,H,10,Wills,1,1,59.34,73663,12.47,1.06,0.43,92.79,0.88,3.55,0.61,-0.3,1.45,-0.33,,,,,,
IA,H,11,Best,1,0,68.27,78676,12.34,8.49,4.66,68.9,2,19.03,7.65,4.1,16.2,6.74,,,,,,
IA,H,12,Holt,1,1,59.6,74533,18.94,1.04,0.46,92.8,0.33,4.02,-0.86,-0.08,-0.77,-0.32,,,,,,
IA,H,13,Carlson,1,1,100,68018,16.89,6.96,2.4,64.41,6.41,20.56,6.21,1.5,15.64,2.49,,,,,,
IA,H,14,Bossman,1,1,7.04,73515,19.75,8.82,2.72,57.62,3.66,26.48,8.49,2.08,25.12,2.92,,,,,,
IA,H,15,Windschitl,1,1,82.24,63745,8.95,5.38,1.08,80.42,1.76,14.1,4.75,0.78,12.85,0.85,,,,,,
IA,H,16,Sieck,1,0,84.23,69561,8.87,2.48,0.76,83.46,2.44,9.49,0.58,-0.34,5.92,-0.36,,,,,,
IA,H,17,Wood,1,1,59.93,73323,7.1,0.61,0.11,93.96,0.47,2.78,0.44,-0.32,1.8,-0.48,,,,,,
IA,H,18,Moore,1,0,46.51,78058,9,7.47,1.12,79.28,2.42,15.68,7.41,0.95,14.55,1.08,,,,,,
IA,H,19,Siegrist,1,0,2.7,136747,12.98,0.42,1.27,93.15,0.49,2.26,0.05,-0.22,0.67,-0.3,,,,,,
IA,H,20,Turek,0,0,0,77961,6.71,5.01,0.36,85.76,1.37,10.43,4.54,-1.51,9.08,-1.26,,,,,,
IA,H,21,Boden,1,1,27.94,73032,12.63,0.94,0.35,94.25,0.58,2.9,-0.73,-0.52,-2.15,-1.04,,,,,,
IA,H,22,Gustafson,1,1,61,103518,14.57,0.51,0.06,94.49,0.27,1.73,-2.24,-0.53,-5.4,-0.84,,,,,,
IA,H,23,Sorensen,1,1,84.04,85486,7.73,0.49,0.19,93.33,0.27,3.56,0.29,-0.07,2.15,-0.18,,,,,,
IA,H,24,Fry,1,1,83.37,68454,6.37,1.32,0.38,91.14,1,4.54,0.73,-0.02,2.96,0.16,,,,,,
IA,H,25,Wilz,1,1,21.75,103831,11.4,0.29,0.3,94.16,0.95,2.49,0.02,0.26,1.49,0.46,,,,,,
IA,H,26,Harris,1,1,83.41,91079,26.86,0.59,0.61,93.22,0.64,3.4,-0.28,0.01,0.17,0.03,,,,,,
IA,H,27,Judge,0,0,2.63,69122,16.68,2.6,0.33,89.42,0.6,6.76,2.52,-0.46,5.35,-0.56,,,,,,
IA,H,28,Young,1,1,18.63,78732,14.26,0.25,0.48,94.09,1.28,1.61,-0.29,-0.91,-1.06,-1.02,,,,,,
IA,H,29,Meyer,0,0,1.08,80309,10.43,0.55,0.56,92.91,1.44,2.74,0.48,-0.53,1.61,-0.5,,,,,,
IA,H,30,Srinivas,0,0,1.01,106674,12.07,0.73,0.7,91.02,3.35,3.13,-1.33,-5.78,-1.06,-7.02,,,,,,
IA,H,31,Madison,0,0,1.72,78954,15.19,3.38,1.58,77.8,6.36,10.05,3.17,1.4,8.85,2.83,,,,,,
IA,H,32,Konfrst,0,0,0,60819,16.48,7.24,4.95,53.61,14.32,19.96,6.64,4.83,18.07,5.66,,,,,,
IA,H,33,Gaines,0,0,0,73840,15.26,7.02,6.46,58.74,6.15,19.94,5.66,4.74,16.14,9.56,,,,,,
IA,H,34,Samad,0,0,0,68340,20.16,4.31,2.79,69.54,9.54,14.47,4.1,1.62,11.73,1.57,,,,,,
IA,H,35,Bagniewski,0,0,0,53715,24.07,6.64,10.89,42.21,22.65,19.26,6.13,9.58,18.25,11.58,,,,,,
IA,H,36,Baeth,0,0,0,83903,21.62,2.55,4.45,76.19,9.09,6.08,1.82,2.92,3.9,4.19,,,,,,
IA,H,37,McCulla,1,1,66.62,111771,16.73,0.18,1.54,93.23,1.23,1.7,-0.28,-1.02,-2.78,-0.69,,,,,,
IA,H,38,Dunwell,1,1,50.02,99648,13.97,1.26,0.98,86.13,3.26,5.14,0.68,0.17,2.7,1,,,,,,
IA,H,39,Olson,0,0,2.55,126330,10.49,0.5,3.03,84.49,6.05,3.58,-0.06,2.87,2.33,4.1,,,,,,
IA,H,40,Gustoff,1,1,4.38,104526,14.75,1.28,3.57,79.05,6.89,6.17,0.14,3.36,2.15,5.15,,,,,,
IA,H,41,Buck,0,0,1.74,99496,31.87,1.96,4.48,74.15,8.47,7.74,1.68,4.14,6.15,5.81,,,,,,
IA,H,42,Matson,0,0,0.16,111655,20.89,1.68,4.3,82.42,5.16,4.82,1.3,3.53,2.91,3.54,,,,,,
IA,H,43,Andrews,1,1,2.3,106612,16.19,2.19,4.24,80.5,4.09,7.08,-8.61,2.96,-14.02,3.56,,,,,,
IA,H,44,Forbes,0,0,0,119586,18.74,1.82,7.01,80.24,2.8,4.84,0.59,6.56,1.71,6.91,,,,,,
IA,H,45,Lohse,1,0,54.48,74044,4.66,1.88,8.39,76.83,3.65,3.38,1.01,1.64,-0.09,2.22,,,,,,
IA,H,46,Gehlbach,1,1,15.45,79381,2.2,1.02,9.34,80.86,2.34,3.98,0.17,2.3,0.55,2.78,,,,,,
IA,H,47,Nordman,1,1,76.04,79398,12.95,0.72,0.39,93.98,0.7,3.02,0.14,-1.72,0.88,-2.45,,,,,,
IA,H,48,Thompson,1,1,51.04,87312,8.41,1.1,1.32,90.61,1.27,4.18,-4.96,1.09,-6.34,2.01,,,,,,
IA,H,49,Kroeschell,0,0,1.69,89578,9.36,0.63,0.61,91.87,1.15,3.49,-1.16,0.14,-0.83,-0.02,,,,,,
IA,H,50,Wilburn,0,0,1.29,77984,6.29,1.41,0.32,94.86,0.61,2.95,0.92,0.24,1.48,0.31,,,,,,
IA,H,51,Deyoe,1,1,77.73,76227,15.51,0.37,0.68,95.75,0.42,1.89,-0.13,0.32,-0.09,-0.07,,,,,,
IA,H,52,Cahill,0,0,14.47,75989,14.49,1.04,0.77,92.09,1.11,3.48,-7.68,-1.9,-12.59,-3.03,,,,,,
IA,H,53,Fisher,1,1,53.59,70939,12.57,0.57,0.55,88.56,2.83,5.75,0.11,0.3,4.19,0.41,,,,,,
IA,H,54,Meggers,1,1,84.13,80929,9.71,1.68,0.96,90.07,0.5,6.6,-0.95,0.72,-1.87,1.04,,,,,,
IA,H,55,Latham,1,1,76.25,77830,37.03,0.88,0.92,93.54,1.32,2.93,-6.66,0.74,-10.33,0.68,,,,,,
IA,H,56,Thompson,1,1,83.33,73501,19.83,1.96,0.58,92.63,0.97,4.55,1.78,0.39,3.35,0.31,,,,,,
IA,H,57,Grassley,1,1,71.3,107655,22.17,0.84,0.63,94.78,0.89,2.75,0.39,0.19,0.94,0.23,,,,,,
IA,H,58,Thomson,1,1,77.46,77953,11.59,0.27,0.26,95.06,0.42,1.87,-0.05,0.09,0.77,0.24,,,,,,
IA,H,59,Steckman,0,0,19.12,90727,7.61,1.37,3.32,88.45,1.58,3.26,-2.1,0.59,-3.02,0.66,,,,,,
IA,H,60,Bloomingdale,1,0,73.65,98641,15.13,0.34,2.18,85.25,7.01,2.21,-2.89,-2.52,-4.21,-2.68,,,,,,
IA,H,61,Powers,0,0,2.93,67547,13.61,1.82,3.24,76.81,10.98,6.44,0.67,0.96,1.33,1.12,,,,,,
IA,H,62,Amos,0,0,3.07,53701,11.38,2.91,0.33,63.13,21.4,8.07,-0.91,-2.21,-2.77,-3.02,,,,,,
IA,H,63,Bergan,1,0,74.92,89658,29.65,0.38,0.64,94.76,0.9,1.69,-0.78,-0.74,-1.29,-0.94,,,,,,
IA,H,64,Osmundson,1,1,99.51,76221,12.13,0.37,0.11,94.43,0.78,1.9,-0.58,-2.67,-1,-3.98,,,,,,
IA,H,65,Lundgren,1,1,77.58,83997,26.98,1.14,0.67,79.68,9.35,5.13,-3.88,-4.48,-6.32,-6.78,,,,,,
IA,H,66,Bradley,1,1,83.08,92064,25.66,1.19,4.99,79.94,7.61,3.32,-10.3,0.48,-19.12,-1.68,,,,,,
IA,H,67,Johnson,1,1,65.55,109257,15.73,1.05,4.53,83.13,3.18,3.15,-5.21,1.1,-11.23,0.96,,,,,,
IA,H,68,Ingels,1,0,76.98,92893,11.69,0.17,0.63,93.62,1.04,1.93,-3.75,-1.32,-7.88,-1.89,,,,,,
IA,H,69,Determann,1,1,14.73,81911,10.2,0.99,1.29,78.14,9.73,5.78,0.73,-1.07,3.62,-2.18,,,,,,
IA,H,70,Mommsen,1,1,62.64,77569,14.91,1.15,1.51,81.77,8.74,3.91,0.86,0.56,2.39,0.28,,,,,,
IA,H,71,James,0,0,0.21,70626,7.92,11.6,3.85,61.47,1.79,28.82,11.21,2.99,27.11,3.75,,,,,,
IA,H,72,Isenhart,0,0,11.12,81010,6.07,3.01,0.56,85.13,0.78,7.92,2.65,0.16,7.38,0.3,,,,,,
IA,H,73,Wilson,0,0,1.22,94557,8.62,1.7,0.48,92.35,1.05,4.41,1.39,0.39,2.84,0.5,,,,,,
IA,H,74,Gjerde,0,0,0.44,112750,11.45,1.1,8.39,67.16,12.75,5.47,0.77,8.02,3.72,10.42,,,,,,
IA,H,75,Kressig,0,0,2.99,84531,9.1,0.39,0.27,95.42,0.31,1.71,-0.15,-0.86,-0.55,-0.93,,,,,,
IA,H,76,Wulf,1,1,35.9,83402,27.13,0.5,0.65,92.14,1.08,3.37,-0.06,0.56,1.77,1.17,,,,,,
IA,H,77,Cooling,0,0,2.99,110439,10.12,1.39,1.95,83.19,3.49,5.43,0.73,-4.3,2.49,-4.53,,,,,,
IA,H,78,Scheetz,0,0,2.04,76619,6.02,2.03,0.4,91.72,0.65,5.49,0.02,-1.82,-0.13,-2.79,,,,,,
IA,H,79,Ehlert,0,0,0.74,88107,32.12,0.36,1.59,92.05,1.68,2.71,-3.42,0.9,-7.43,0.44,,,,,,
IA,H,80,Staed,0,0,2.45,69657,12.92,0.21,0.45,94.93,0.17,1.43,-4.58,-0.02,-12.91,0.05,,,,,,
IA,H,81,Stoltenberg,1,1,4.87,65845,9.94,4.43,1.31,78.61,3.78,12.41,3.05,0.33,5.78,0.23,,,,,,
IA,H,82,Kaufmann,1,1,98.86,78141,32.02,0.73,3.26,88.14,3.59,2.43,0.08,1.49,-1.23,0.72,,,,,,
IA,H,83,Golding,1,1,76.23,65773,16.83,0.53,0.8,89.1,3.43,4.11,0.5,0.7,2.7,0.73,,,,,,
IA,H,84,Gerhold,1,1,75.71,74605,18.11,1.02,1.64,89.59,1.83,4.14,0.32,0.97,-0.37,1.43,,,,,,
IA,H,85,Nielsen,0,0,24.22,83807,6.94,1.27,4.34,83,2.88,5.3,0.82,1.57,2.17,1.41,,,,,,
IA,H,86,Jacoby,0,0,0.27,66183,5.68,2.52,6.13,71.15,10.93,6.67,-0.87,4.46,-4.28,5.11,,,,,,
IA,H,87,Shipley,1,1,41.88,71586,12.23,0.24,1.17,82.58,7.94,4.05,-3.48,0.88,-4.99,1.04,,,,,,
IA,H,88,Hayes,1,1,62.06,87209,8.78,4.98,1.27,81.51,1,14.24,4.59,0.03,11.48,0.53,,,,,,
IA,H,89,Levin,0,0,0.81,70553,20.24,1.75,1.96,72.88,9.77,9.11,0.22,1.58,4.59,1.84,,,,,,
IA,H,90,Zabner,0,0,0.26,61342,23.98,3.01,1.49,67.06,13.7,11.47,2.17,-3.09,9.8,-2.36,,,,,,
IA,H,91,Sherman,1,1,84.54,76036,9.57,3.49,0.56,75.98,2.69,17.34,1.99,-0.61,14.26,-0.86,,,,,,
IA,H,92,Hora,1,1,70.75,89395,11.02,1.35,0.53,82.53,6.26,7.21,0.69,-0.19,3.81,0.02,,,,,,
IA,H,93,Mohr,1,0,3.44,94862,21.58,0.61,1.51,82.27,4.93,6.75,-4.8,0.81,-3.3,0.66,,,,,,
IA,H,94,Vondran,1,1,3.93,128881,14.76,0.87,4.93,81.74,4.12,3.82,0.72,4.7,2.88,6.85,,,,,,
IA,H,95,Collines,1,1,93.73,110211,23.12,0.07,0.85,95.89,0.39,1.05,-1.63,0.6,-3.01,0.61,,,,,,
IA,H,96,Cisneros,1,1,23.02,84806,16.91,0.24,0.47,93.39,1.54,2.32,-0.67,-0.01,-0.58,0.11,,,,,,
IA,H,97,Croken,0,0,0,95787,5.75,0.17,0.42,94.04,0.79,2.09,-0.93,-0.02,-0.2,0.34,,,,,,
IA,H,98,Kurth,0,0,15.62,69764,10.69,0.82,0.49,87.12,4.5,4.22,0.26,0.03,2.23,0.06,,,,,,
IA,H,99,Rinker,1,1,15.5,82488,33.77,0.39,1.74,89.45,2.46,2.07,-2.74,1.05,-6.51,1.45,,,,,,
IA,H,100,Graber,1,1,37.83,75428,31.17,0.91,1.21,84.93,6.08,2.65,-2.26,0.75,-5.7,0.47,,,,,,
KY,S,1,Howell,1,1,71.21,64272,9.01,1.03,0.63,86.5,5.66,4.16,-0.19,-0.07,1.38,-0.07,,,,,,
KY,S,2,Carroll,1,1,54.72,75493,12.65,0.47,0.42,87.65,6.8,2.31,-0.22,-0.03,0.66,0.06,,,,,,
KY,S,3,Westerfield,1,1,40.74,65092,17.83,1.06,0.86,72.87,15.25,6.68,-0.35,0.22,1.79,0.47,,,,,,
KY,S,4,Mills,1,1,57.44,66040,11.65,0.75,0.35,87.71,6.28,2.65,0.2,0.06,0.87,0.05,,,,,,
KY,S,5,Meredith,1,0,86.75,65349,10.06,0.54,0.36,92.27,2.5,2.44,0.19,0.11,0.86,0.12,,,,,,
KY,S,7,Southworth,1,1,47.88,78870,17.39,1.59,0.86,86.44,5.57,3.87,-1.05,-0.01,-0.87,0.03,,,,,,
KY,S,8,Castlen,1,1,36.48,77633,15.56,0.88,1.43,88.49,4.26,3.02,0.07,1.04,0.74,1.07,,,,,,
KY,S,9,Givens,1,1,63.52,60229,11.67,0.9,0.38,90.93,3.52,2.79,0.36,0.01,1.13,0.05,,,,,,
KY,S,10,Parrett,0,0,33.27,79922,14.16,0.93,1.45,76.72,11.2,5.54,0.05,-0.2,1.21,-0.28,,,,,,
KY,S,11,Schickel,1,1,7.94,103177,16.88,1.62,1.86,86.42,3.74,4.43,0.33,-0.07,1.12,0.31,,,,,,
KY,S,12,Kerr,1,0,28.17,103068,22.43,2.21,4.79,77.5,7.46,5.85,0.2,1.74,2.12,2.32,,,,,,
KY,S,13,Thomas,0,0,0,68864,10.02,3.9,3.32,64.4,20.23,7.84,-2.51,0.72,-1.62,-0.05,,,,,,
KY,S,14,Higdon,1,1,78.8,82926,21.55,0.51,0.68,89.2,5.58,2.44,-0.13,0.19,0.56,0.33,,,,,,
KY,S,15,Girdler,1,1,68.13,64516,15.76,0.91,0.56,91.16,2.93,2.62,0.05,0.32,0.55,0.31,,,,,,
KY,S,16,Wise,1,1,64.32,58066,17.9,0.93,0.2,91.4,2.96,2.7,0.29,0.09,1.16,0.32,,,,,,
KY,S,17,Thayer,1,1,41.68,88870,19.33,0.83,0.75,90.9,2.67,2.85,-0.02,0.35,0.39,0.19,,,,,,
KY,S,18,Webb,0,0,49.32,68132,9.47,0.48,0.36,94.37,1.21,1.44,0.21,0.22,0.59,0.09,,,,,,
KY,S,19,McGarvey,0,0,0,93145,35.56,2.39,2.26,81.13,10.03,4.36,0.78,0.83,1.31,0.74,,,,,,
KY,S,20,Hornback,1,1,42.28,89304,24.55,2.78,1.9,82.39,6.61,6.46,1.03,1.53,2.95,1.33,,,,,,
KY,S,21,Storm,1,0,79.43,58359,10.48,0.25,0.27,95.63,0.59,1.37,-0.11,0.06,0.36,-0.08,,,,,,
KY,S,22,Buford,1,1,24.2,82671,19.64,2.59,0.85,85.73,5.72,5.2,1.41,-1.28,2.61,-1.37,,,,,,
KY,S,23,McDaniel,1,1,0.87,89882,25.21,1.64,1.14,84.65,5.75,4.54,0.43,0.57,1.34,0.53,,,,,,
KY,S,24,Schroder,1,1,32.48,87959,18.98,0.42,0.84,92.28,2.29,1.99,0.08,0.25,0.54,0.19,,,,,,
KY,S,25,Stivers,1,1,79.53,49464,14.9,0.18,0.17,94.39,1.85,1.24,-0.01,-0.03,0.51,-0.01,,,,,,
KY,S,26,Harris,1,1,0.66,151172,29.69,1.17,2.07,87.85,3.98,3.01,-0.66,0.3,-0.39,0.28,,,,,,
KY,S,27,West,1,1,57.93,67273,10.24,0.91,0.26,92.41,2.7,2.4,0.58,0,1.21,-0.02,,,,,,
KY,S,28,Alvarado,1,1,38.59,78648,13.38,2.11,1.38,80.67,10.56,4.62,0.7,1.21,1.85,1.18,,,,,,
KY,S,29,Turner,1,0,80.6,48365,11.97,0.1,0.28,96.21,1.18,0.63,-0.09,0.15,0.13,0.19,,,,,,
KY,S,30,Smith,1,0,90.08,52749,9.9,0.11,0.53,95.56,1.09,0.87,0.02,0.39,0.22,0.39,,,,,,
KY,S,31,Wheeler,1,0,83.85,54137,12.91,0.19,0.49,95.06,1.71,1.08,-0.09,0.11,0.19,0.25,,,,,,
KY,S,32,Wilson,1,1,43.63,81129,9.03,2.05,4.09,77.41,8.52,5.47,-0.54,1.91,1.29,2.37,,,,,,
KY,S,33,Neal,0,0,0.43,49234,12.13,2.17,1.13,33.17,58.45,3.64,1.41,0.34,2.16,0.9,,,,,,
KY,S,34,Carpenter,1,0,28.44,81893,19.14,0.75,1.58,88.89,3.69,2.63,0.22,0.96,0.87,0.9,,,,,,
KY,S,35,Angel,0,0,0,58721,14.74,6.23,2.91,47.93,34.92,11.43,2.29,1.22,4.95,0.58,,,,,,
KY,S,36,Adams,1,1,2.87,115149,35.56,1.85,4.7,77.84,9.64,3.82,0.05,1.58,0.26,2.01,,,,,,
KY,S,37,Yates,0,0,0.08,66676,14.28,6.11,2.97,64.04,19.93,9.11,2.35,0.8,3.4,1.06,,,,,,
KY,S,38,Seum,1,1,23.97,82381,19.67,1.56,1.14,85.49,5.4,4.56,-0.95,-0.42,-0.17,-0.57,,,,,,
KY,H,1,Rudy,1,1,66.46,77969,8.97,0.5,0.32,86.54,6.53,2.84,0.05,-0.27,1.65,-0.13,,,,,,
KY,H,2,Heath,1,1,64.81,67149,7.97,1.3,0.38,86.65,3.55,6.35,-1.26,0.09,1.42,0.1,,,,,,
KY,H,3,Bridges,1,1,24.03,69274,14.23,0.62,0.51,77.81,15.5,2.48,-0.41,-0.04,-0.13,0.36,,,,,,
KY,H,4,Bechler,1,1,53.05,75928,13.66,0.55,0.37,89.36,5.83,2.31,0.33,0,1.42,0.03,,,,,,
KY,H,5,Imes,1,1,56.28,64087,10.79,0.83,1.09,89.32,4.14,2.71,0.14,-0.43,0.64,-0.16,,,,,,
KY,H,6,Freeland,1,1,88.14,73798,10.77,0.42,0.35,94.86,1.76,1.85,0.1,0.34,0.9,-0.1,,,,,,
KY,H,7,Miles,1,1,21.48,86398,15.2,0.71,2.6,87.16,5.77,1.85,0,2.31,0.08,2.38,,,,,,
