STATE,H_OR_S,DISTRICT,NAME,PARTY_R,YES,PERCENT_RURAL,MEAN_INCOME,PERCENT_PRIVATE,PERCENT_21_FBLA,PERCENT_21_FBA,PERCENT_21_W,PERCENT_21_B,PERCENT_21_H,CHANGE_FBLA,CHANGE_FBA,CHANGE_HISP,CHANGE_A,,,,,,
AR,H,10,McAlindon,1,1,6.03,76826,10.82,0.79,0.05,86.15,10.25,1.75,0.12,-0.46,-0.18,-0.51,,,,,,
AR,H,11,Burkes,1,1,13.26,52424,11.21,2.48,0.2,43.71,48.73,6.24,1.23,0.2,3.57,0.26,,,,,,
AR,H,12,Duke,1,0,49.85,51327,12.45,0.65,0,41,55.65,2.6,-1.1,-0.09,-1.56,-0.09,,,,,,
AR,H,13,Richardson,1,1,0.76,67264,11.51,0.48,0.09,74.85,19.12,2.88,0.38,0.09,1.6,0.21,,,,,,
AR,H,14,Hodges,1,1,14.65,71034,11.07,1.64,0.02,69.49,23.03,3.54,0.48,-0.6,1.68,-0.63,,,,,,
AR,H,15,Carr,1,1,0,79231,8.39,1.09,0.49,86.7,4.59,3.89,0.48,0.32,1.77,0.41,,,,,,
AR,H,16,Underwood,1,1,20.98,58250,6.59,0.98,1.27,31.22,62.94,1.99,0.47,0.69,0.43,-0.13,,,,,,
AR,H,17,Haak,1,1,40.27,46341,20.26,0.44,0.53,18.66,76.2,1.8,-0.03,0.41,-0.31,0.97,,,,,,
AR,H,18,Lundstrum,1,1,24.27,62212,9.49,0.72,0.26,74.79,18.54,3.91,0.71,-0.85,2.82,-1.15,,,,,,
AR,H,19,Unger,1,1,3.32,61072,8.46,4.93,0.36,73.62,12.95,10.37,3.91,0.18,7.76,0.18,,,,,,
AR,H,20,Garner,0,0,9.22,63149,8.17,2.54,0.33,88.57,0.34,5.74,1.6,-0.07,2.46,-0.14,,,,,,
AR,H,21,Clowney,0,0,1.48,64844,7.42,1.93,0.85,85.09,1.84,5.8,-10.08,0.48,-16.62,1.41,,,,,,
AR,H,22,Whitaker,0,0,12.81,69921,8.11,0.41,0.36,92.24,2.12,2.58,-1.87,0.29,-2.19,0.28,,,,,,
AR,H,23,Moore,1,1,68.29,89017,8.38,0.86,1.48,85.53,5.72,3.73,-2.12,1.39,-1.96,2.07,,,,,,
AR,H,24,Fite,1,1,73.53,71746,10.26,3.25,0.59,81.14,7.23,7.12,-0.28,-0.21,-0.84,-0.54,,,,,,
AR,H,25,Puryear,1,1,96.42,58829,8.37,3.26,1.53,67.24,17.28,9.14,1.63,0.62,4.67,-0.19,,,,,,
AR,H,26,Berry,1,1,100,68111,6.05,0.6,0.2,79.82,13.02,4.17,-0.14,0.14,1.34,0.37,,,,,,
AR,H,27,Walker,1,1,100,84330,9.78,2.87,0.88,77.35,11.48,6.7,1.94,0.35,3.19,0.7,,,,,,
AR,H,28,Shultz,1,1,94.9,69230,8.31,1,0.3,82.19,10.02,3.98,-0.42,-0.33,-1.26,-0.77,,,,,,
AR,H,29,McClure,1,1,70.87,51082,14.76,9.15,0.26,16.98,60.24,19.75,8.35,-0.35,17.5,-0.77,,,,,,
AR,H,30,Cavenaugh,1,1,61.14,65822,13.62,4.49,0.81,26.9,59.2,9.38,4.07,0.58,7.55,1.28,,,,,,
AR,H,31,Gazaway,1,1,19.41,138075,25.23,1.94,1.84,82.35,9.54,4.38,0.41,-0.15,1.13,-0.19,,,,,,
AR,H,32,Ladyman,1,1,5.21,137121,43.35,1.26,6.7,69.02,17.6,2.71,-1.18,0.48,-0.85,2.05,,,,,,
AR,H,33,Milligan,1,1,81.59,87525,19.06,1.21,3.76,66.78,24.3,3,-3.12,2.92,-5.06,2.26,,,,,,
AR,H,34,Carr,1,1,26.46,52176,14.6,1.53,1.21,29.85,60.97,4.89,-0.95,-0.35,1.08,-0.2,,,,,,
AR,H,35,Nicks,0,0,24.17,114923,23.9,1.65,2.99,70.88,17.42,3.71,-8.66,2.73,-10.7,3.02,,,,,,
AR,H,36,Rye,1,1,23.64,57958,12.02,4.86,0.29,29.25,57.74,10.71,-2.73,0.29,-0.24,0.37,,,,,,
AR,H,37,Hollowell,1,1,64.15,43716,8.06,1.94,1.05,27.36,64.05,3.99,0.54,-1.6,1.28,-2.15,,,,,,
AR,H,38,Tosh,1,1,48.94,93065,22.19,3.53,1,67.27,19.58,8.2,2.57,-1.18,6.15,-0.9,,,,,,
AR,H,39,Long,1,1,76.14,82352,22.45,1.23,1.07,59.1,30.17,5.12,0.39,0.99,2.43,1.28,,,,,,
AR,H,40,Pearce,1,1,65.74,75209,12.27,1.23,0.62,83.12,8.02,3.52,0.21,-1.92,1.87,-1.01,,,,,,
AR,H,41,Miller,1,1,77.67,82697,15.03,1.59,1.26,62.58,29.5,3.05,-3.01,0.17,-5.32,0.31,,,,,,
